e1fish_index,e1fish_id,e1fish_name,e1fish_lastyear,e1fish_startyear,e1monoculture,e1fish_everyyear,e1fish_gap,e1fingerling_lastyear,e1pond_type,e1pond_type_oth,e1pond_size,e1pond_depth,e1pond_source,e1pond_source_oth,e1integrated_agri,e1integrated_now,e1purchase_finger_time,e1source_fingerling,e1source_fingerling_1,e1source_fingerling_2,e1source_fingerling_3,e1source_fingerling_4,e1source_fingerling_5,e1source_fingerling_6,e1source_fingerling_7,e1source_fingerling_8,e1source_fingerling_9,e1source_fingerling__96,e1source_fingerling_oth,e1know_hatchery,e1hatchery_village,e1distance_hatchery,e1hatchery_address,e1know_num,e1hatchery_phone,e1hatchery_year,e1strain_tilapia,e1strain_tilapia_oth,e1strain_rohu,e1strain_rohu_oth,e1gift_tilapia,e1g3_rohu,e1fish_amount,e1fish_monosex,e1totprice_fingerling,e1harvest_month,e1fish_sales,e1fish_sales_oth,PARENT_KEY,KEY,SET-OF-module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[1],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[1]/module_e1_4[1],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2021,0,1,,1,1,,19.5,4,3,,0,,5/1/2023,8,0,0,0,0,0,0,0,1,0,0,,1,1,5,Fulbariya mostho hasari,0,,2,,,1,,,0,40,,8000,1/1/2024,1,,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[1],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[1]/module_e1_4[2],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[2],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[2]/module_e1_4[1],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[2]/module_e1_4
2,2,Rohu (Rui),1,2022,0,1,,1,1,,6,7,1,,0,,10/1/2023,8,0,0,0,0,0,0,0,1,0,0,,1,1,5,Fulbariya,0,,2,,,1,,,0,1,,220,2/1/2024,5,,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[2],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[2]/module_e1_4[2],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[2]/module_e1_4
1,1,Tilapia,1,2004,0,1,,1,1,,28,4,2,,0,,1/1/2024,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,-96,Jater nam jane na,,,0,,45,20,4500,3/1/2023,1,,uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er[1],uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er[1]/module_e1_4[1],uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er[1],uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er[1]/module_e1_4[2],uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er[1],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er[1]/module_e1_4[1],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,1994,0,1,,1,1,,1.5,7,1,,0,,4/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,25,,,-96,Janina,,0,1,,500,5/1/2023,5,,uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er[1],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er[1]/module_e1_4[2],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er[1]/module_e1_4
1,1,Tilapia,1,2021,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er[1],uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er[1]/module_e1_4[1],uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2021,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er[1],uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er[1]/module_e1_4[2],uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er[1]/module_e1_4
1,1,Tilapia,1,2010,1,1,,1,1,,8,6,4,,0,,6/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,14,-96,Cross telapia,,,0,,1,0.25,112.5,2/1/2024,5,,uuid:b2a116b3-8fd3-445e-aaf1-d1f1d67a1163/module_er[1],uuid:b2a116b3-8fd3-445e-aaf1-d1f1d67a1163/module_er[1]/module_e1_4[1],uuid:b2a116b3-8fd3-445e-aaf1-d1f1d67a1163/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2010,0,1,,1,1,,80,6,4,,0,,6/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,14,,,-96,Cross rohu,,0,1,,450,11/1/2023,5,,uuid:b2a116b3-8fd3-445e-aaf1-d1f1d67a1163/module_er[1],uuid:b2a116b3-8fd3-445e-aaf1-d1f1d67a1163/module_er[1]/module_e1_4[2],uuid:b2a116b3-8fd3-445e-aaf1-d1f1d67a1163/module_er[1]/module_e1_4
1,1,Tilapia,1,2022,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:54c0b79f-2ab2-4518-acc1-981461e6022c/module_er[1],uuid:54c0b79f-2ab2-4518-acc1-981461e6022c/module_er[1]/module_e1_4[1],uuid:54c0b79f-2ab2-4518-acc1-981461e6022c/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:54c0b79f-2ab2-4518-acc1-981461e6022c/module_er[1],uuid:54c0b79f-2ab2-4518-acc1-981461e6022c/module_er[1]/module_e1_4[2],uuid:54c0b79f-2ab2-4518-acc1-981461e6022c/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:29461dcc-e177-46b9-9be2-e28dc296891c/module_er[1],uuid:29461dcc-e177-46b9-9be2-e28dc296891c/module_er[1]/module_e1_4[1],uuid:29461dcc-e177-46b9-9be2-e28dc296891c/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:29461dcc-e177-46b9-9be2-e28dc296891c/module_er[1],uuid:29461dcc-e177-46b9-9be2-e28dc296891c/module_er[1]/module_e1_4[2],uuid:29461dcc-e177-46b9-9be2-e28dc296891c/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:c2a47127-40a3-4d92-b161-5bd385d6c278/module_er[1],uuid:c2a47127-40a3-4d92-b161-5bd385d6c278/module_er[1]/module_e1_4[1],uuid:c2a47127-40a3-4d92-b161-5bd385d6c278/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:c2a47127-40a3-4d92-b161-5bd385d6c278/module_er[1],uuid:c2a47127-40a3-4d92-b161-5bd385d6c278/module_er[1]/module_e1_4[2],uuid:c2a47127-40a3-4d92-b161-5bd385d6c278/module_er[1]/module_e1_4
1,1,Tilapia,1,2008,1,1,,1,1,,3,4,1,,0,,7/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,2,1,,,,0,,3,0,300,12/1/2023,5,,uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[1],uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[1]/module_e1_4[1],uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2020,0,1,,1,1,,3,4,1,,0,,7/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,,,-96,Nam jane na,,0,1,,600,2/1/2024,5,,uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[1],uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[1]/module_e1_4[2],uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[2],uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[2]/module_e1_4[1],uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[2]/module_e1_4
2,2,Rohu (Rui),1,1995,0,1,,1,1,,5.5,3,1,,0,,8/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,15,,,-96,Jater nam jane na,,0,4,,2400,2/1/2024,5,,uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[2],uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[2]/module_e1_4[2],uuid:535a8f65-b2f7-49a9-9eeb-1ce19f0593f9/module_er[2]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:355e2344-425d-4bf4-a41a-06f90ec04468/module_er[1],uuid:355e2344-425d-4bf4-a41a-06f90ec04468/module_er[1]/module_e1_4[1],uuid:355e2344-425d-4bf4-a41a-06f90ec04468/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,1990,1,1,,1,1,,4,8,1,,0,,4/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,7,,,-96,Janina,,0,10,,1500,12/1/2023,5,,uuid:355e2344-425d-4bf4-a41a-06f90ec04468/module_er[1],uuid:355e2344-425d-4bf4-a41a-06f90ec04468/module_er[1]/module_e1_4[2],uuid:355e2344-425d-4bf4-a41a-06f90ec04468/module_er[1]/module_e1_4
1,1,Tilapia,1,2004,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:d8f4ea5e-ea72-4f20-8e6f-8870da7e7b4c/module_er[1],uuid:d8f4ea5e-ea72-4f20-8e6f-8870da7e7b4c/module_er[1]/module_e1_4[1],uuid:d8f4ea5e-ea72-4f20-8e6f-8870da7e7b4c/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:d8f4ea5e-ea72-4f20-8e6f-8870da7e7b4c/module_er[1],uuid:d8f4ea5e-ea72-4f20-8e6f-8870da7e7b4c/module_er[1]/module_e1_4[2],uuid:d8f4ea5e-ea72-4f20-8e6f-8870da7e7b4c/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:a8fc6273-57c6-42fc-8fc6-ea13eb4e992d/module_er[1],uuid:a8fc6273-57c6-42fc-8fc6-ea13eb4e992d/module_er[1]/module_e1_4[1],uuid:a8fc6273-57c6-42fc-8fc6-ea13eb4e992d/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2005,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:a8fc6273-57c6-42fc-8fc6-ea13eb4e992d/module_er[1],uuid:a8fc6273-57c6-42fc-8fc6-ea13eb4e992d/module_er[1]/module_e1_4[2],uuid:a8fc6273-57c6-42fc-8fc6-ea13eb4e992d/module_er[1]/module_e1_4
1,1,Tilapia,1,2017,0,1,,1,1,,28,4,2,,0,,1/1/2023,5,0,0,0,0,1,0,0,0,0,0,,1,1,2,Poranpur kakkur ghata,0,,3,-96,Nam jane na,,,0,,5,2,400,1/1/2023,1,,uuid:4df88499-655d-4fc9-8add-760572e020c9/module_er[1],uuid:4df88499-655d-4fc9-8add-760572e020c9/module_er[1]/module_e1_4[1],uuid:4df88499-655d-4fc9-8add-760572e020c9/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:4df88499-655d-4fc9-8add-760572e020c9/module_er[1],uuid:4df88499-655d-4fc9-8add-760572e020c9/module_er[1]/module_e1_4[2],uuid:4df88499-655d-4fc9-8add-760572e020c9/module_er[1]/module_e1_4
1,1,Tilapia,1,2016,0,1,,1,1,,6,6,1,,0,,6/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,-96,Deshi,,,0,,2,0.5,300,1/1/2024,5,,uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[1],uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[1]/module_e1_4[1],uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[1],uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[1]/module_e1_4[2],uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[1]/module_e1_4
1,1,Tilapia,1,2016,0,1,,1,1,,10,6,1,,0,,7/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,-96,Janina,,,0,,2,0.5,300,1/1/2024,5,,uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[2],uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[2]/module_e1_4[1],uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[2]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[2],uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[2]/module_e1_4[2],uuid:c62256df-7964-4ebf-a0d0-b9f6b4797d1c/module_er[2]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:fdd4cabf-4290-4062-b559-6e3f02bb9e9a/module_er[1],uuid:fdd4cabf-4290-4062-b559-6e3f02bb9e9a/module_er[1]/module_e1_4[1],uuid:fdd4cabf-4290-4062-b559-6e3f02bb9e9a/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2019,0,1,,1,1,,9,6,1,,0,,4/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,5,,,-96,Dasi,,0,4,,1000,2/1/2024,5,,uuid:fdd4cabf-4290-4062-b559-6e3f02bb9e9a/module_er[1],uuid:fdd4cabf-4290-4062-b559-6e3f02bb9e9a/module_er[1]/module_e1_4[2],uuid:fdd4cabf-4290-4062-b559-6e3f02bb9e9a/module_er[1]/module_e1_4
1,1,Tilapia,1,2022,0,1,,1,1,,4,4,1,,0,,1/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,2,-96,Jane na,,,0,,2,0,800,4/1/2023,5,,uuid:edba7b17-6601-4202-87fe-c1fb3e711ff2/module_er[1],uuid:edba7b17-6601-4202-87fe-c1fb3e711ff2/module_er[1]/module_e1_4[1],uuid:edba7b17-6601-4202-87fe-c1fb3e711ff2/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:edba7b17-6601-4202-87fe-c1fb3e711ff2/module_er[1],uuid:edba7b17-6601-4202-87fe-c1fb3e711ff2/module_er[1]/module_e1_4[2],uuid:edba7b17-6601-4202-87fe-c1fb3e711ff2/module_er[1]/module_e1_4
1,1,Tilapia,1,2004,0,1,,1,1,,32,250,1,,0,,5/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,3,1,,,,0,,20,4,2400,11/1/2023,5,,uuid:d3ec2ee6-6c79-4f95-91b2-d53b9616eb3f/module_er[1],uuid:d3ec2ee6-6c79-4f95-91b2-d53b9616eb3f/module_er[1]/module_e1_4[1],uuid:d3ec2ee6-6c79-4f95-91b2-d53b9616eb3f/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2004,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:d3ec2ee6-6c79-4f95-91b2-d53b9616eb3f/module_er[1],uuid:d3ec2ee6-6c79-4f95-91b2-d53b9616eb3f/module_er[1]/module_e1_4[2],uuid:d3ec2ee6-6c79-4f95-91b2-d53b9616eb3f/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:53e19cc4-074f-49c4-a3b3-8145551a17e3/module_er[1],uuid:53e19cc4-074f-49c4-a3b3-8145551a17e3/module_er[1]/module_e1_4[1],uuid:53e19cc4-074f-49c4-a3b3-8145551a17e3/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:53e19cc4-074f-49c4-a3b3-8145551a17e3/module_er[1],uuid:53e19cc4-074f-49c4-a3b3-8145551a17e3/module_er[1]/module_e1_4[2],uuid:53e19cc4-074f-49c4-a3b3-8145551a17e3/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:f8e267c2-9efb-4f5e-bea7-d9bdf5e667e3/module_er[1],uuid:f8e267c2-9efb-4f5e-bea7-d9bdf5e667e3/module_er[1]/module_e1_4[1],uuid:f8e267c2-9efb-4f5e-bea7-d9bdf5e667e3/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2022,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:f8e267c2-9efb-4f5e-bea7-d9bdf5e667e3/module_er[1],uuid:f8e267c2-9efb-4f5e-bea7-d9bdf5e667e3/module_er[1]/module_e1_4[2],uuid:f8e267c2-9efb-4f5e-bea7-d9bdf5e667e3/module_er[1]/module_e1_4
1,1,Tilapia,1,2018,0,1,,1,1,,33,2,2,,0,,1/1/2023,5,0,0,0,0,1,0,0,0,0,0,,1,1,1000,Abul er hachari,0,,1,3,,,,1,,5,0,500,12/1/2023,1,,uuid:50b71043-c5cc-4677-a91d-53d8211ae534/module_er[1],uuid:50b71043-c5cc-4677-a91d-53d8211ae534/module_er[1]/module_e1_4[1],uuid:50b71043-c5cc-4677-a91d-53d8211ae534/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:50b71043-c5cc-4677-a91d-53d8211ae534/module_er[1],uuid:50b71043-c5cc-4677-a91d-53d8211ae534/module_er[1]/module_e1_4[2],uuid:50b71043-c5cc-4677-a91d-53d8211ae534/module_er[1]/module_e1_4
1,1,Tilapia,1,2022,1,1,,1,1,,6,2,3,,0,,7/1/2023,3,0,0,1,0,0,0,0,0,0,0,,,,,,,,,3,,,,1,,5,2,500,12/1/2023,5,,uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[1],uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[1]/module_e1_4[1],uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[1],uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[1]/module_e1_4[2],uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[1]/module_e1_4
1,1,Tilapia,1,2022,1,1,,1,1,,3.5,4,2,,0,,7/1/2023,3,0,0,1,0,0,0,0,0,0,0,,,,,,,,,3,,,,1,,4,1,400,9/1/2023,5,,uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[2],uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[2]/module_e1_4[1],uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[2]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[2],uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[2]/module_e1_4[2],uuid:674d68cc-43b3-4ee8-89a3-74346e28eb05/module_er[2]/module_e1_4
1,1,Tilapia,1,2000,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:8901d4e7-858d-4c39-9460-52c12ec149ef/module_er[1],uuid:8901d4e7-858d-4c39-9460-52c12ec149ef/module_er[1]/module_e1_4[1],uuid:8901d4e7-858d-4c39-9460-52c12ec149ef/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2000,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:8901d4e7-858d-4c39-9460-52c12ec149ef/module_er[1],uuid:8901d4e7-858d-4c39-9460-52c12ec149ef/module_er[1]/module_e1_4[2],uuid:8901d4e7-858d-4c39-9460-52c12ec149ef/module_er[1]/module_e1_4
