d1index,d1cgiartech_id,d1cgiartech_name,d1cgiartech_know,d1cgiartech_usage,d1cgiartech_owner,d1cgiartech_past,d1cgiartech_startyear,d1cgiartech_stopyear,d1tech_stopreason,d1tech_stopreason_1,d1tech_stopreason_2,d1tech_stopreason_3,d1tech_stopreason_4,d1tech_stopreason_5,d1tech_stopreason_6,d1tech_stopreason_7,d1tech_stopreason_8,d1tech_stopreason_9,d1tech_stopreason_10,d1cgiartech_introyear,PARENT_KEY,KEY,SET-OF-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1[2],uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2005,,,,,,,,,,,,,2003,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1[3],uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1[4],uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,1,2021,,,,,,,,,,,,,2021,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1[5],uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1[6],uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1[1],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1[2],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,0,,0,,,,,,,,,,,,,,2014,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1[3],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,1,1,2014,,,,,,,,,,,,,2014,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1[4],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1[5],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1[6],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1[1],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1[2],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2015,,,,,,,,,,,,,1995,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1[3],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1[4],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,1,2010,,,,,,,,,,,,,1992,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1[5],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1[6],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_d-module_d1
1,1,Axial Flow Pump,1,1,0,1,1985,,,,,,,,,,,,,1970,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1[1],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),1,0,,0,,,,,,,,,,,,,,2019,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1[2],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,1990,,,,,,,,,,,,,1980,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1[3],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,1,2000,,,,,,,,,,,,,1988,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1[4],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1[5],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1[6],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1[1],uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1[2],uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,1980,,,,,,,,,,,,,1970,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1[3],uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,1,1970,,,,,,,,,,,,,1990,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1[4],uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1[5],uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1[6],uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:17484535-681e-45cd-b7e2-dcc55b68d458,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1[1],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:17484535-681e-45cd-b7e2-dcc55b68d458,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1[2],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,0,,,,,,,,,,,,,,,,,,uuid:17484535-681e-45cd-b7e2-dcc55b68d458,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1[3],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:17484535-681e-45cd-b7e2-dcc55b68d458,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1[4],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:17484535-681e-45cd-b7e2-dcc55b68d458,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1[5],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:17484535-681e-45cd-b7e2-dcc55b68d458,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1[6],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_d-module_d1
1,1,Axial Flow Pump,1,0,,0,,,,,,,,,,,,,,2018,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1[1],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1[2],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,0,,,,,,,,,,,,,,,,,,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1[3],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1[4],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1[5],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1[6],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1[1],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1[2],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2023,,,,,,,,,,,,,2008,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1[3],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1[4],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,0,2023,,,,,,,,,,,,,2017,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1[5],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1[6],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:a00fc1db-7002-45b4-892e-f7306db29038,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1[1],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:a00fc1db-7002-45b4-892e-f7306db29038,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1[2],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2000,,,,,,,,,,,,,1995,uuid:a00fc1db-7002-45b4-892e-f7306db29038,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1[3],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:a00fc1db-7002-45b4-892e-f7306db29038,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1[4],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,0,,,,,,,,,,,,,,2017,uuid:a00fc1db-7002-45b4-892e-f7306db29038,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1[5],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:a00fc1db-7002-45b4-892e-f7306db29038,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1[6],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_d-module_d1
