c1pesticide_id,c1pesticide_name,c1pesticide_dosage,c1pesticide_unit,c1pesticide_n_timee,c1pesticideuse_reason,PARENT_KEY,KEY,SET-OF-c1pesticide_repeat
2,Pata,90,2,3,3,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1]/c1season_group-c1pesticide_repeat
3,Motar,90,2,2,3,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1]/c1season_group-c1pesticide_repeat[3],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1]/c1season_group-c1pesticide_repeat
1,Motar,90,2,2,3,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[2],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[2]/c1season_group-c1pesticide_repeat
2,Krtari,80,2,2,3,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[2],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[2]/c1season_group-c1pesticide_repeat[2],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[2]/c1season_group-c1pesticide_repeat
1,Maijra pokar oushudh,500,2,2,2,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_c1[3],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_c1[3]/c1season_group-c1pesticide_repeat[1],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_c1[3]/c1season_group-c1pesticide_repeat
2,Steel,500,2,2,2,uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_c1[3],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_c1[3]/c1season_group-c1pesticide_repeat[2],uuid:dea6c683-7b5c-4265-8267-8cf3e690b32d/module_c1[3]/c1season_group-c1pesticide_repeat
1,Vitrago,50,2,2,2,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_c1[4],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_c1[4]/c1season_group-c1pesticide_repeat
2,Furadon,500,2,2,2,uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_c1[4],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_c1[4]/c1season_group-c1pesticide_repeat[2],uuid:ec39114b-8f8f-43c7-8896-d47e60f0b3ad/module_c1[4]/c1season_group-c1pesticide_repeat
1,Nam bolta pari nan,250,1,2,3,uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_c1[1],uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:c74e4257-a7cf-44bb-a229-d7406224d7a4/module_c1[1]/c1season_group-c1pesticide_repeat
1,Betragu,300,1,1,1,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_c1[4],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_c1[4]/c1season_group-c1pesticide_repeat
1,Jane na,25,2,2,2,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_c1[2],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_c1[2]/c1season_group-c1pesticide_repeat
1,Virtako,10,2,1,3,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[1],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[1]/c1season_group-c1pesticide_repeat
2,Altima plus,10,2,1,3,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[1],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[1]/c1season_group-c1pesticide_repeat
1,Virtako,10,2,1,3,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[2],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[2]/c1season_group-c1pesticide_repeat
2,Marshal,50,1,1,2,uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[2],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[2]/c1season_group-c1pesticide_repeat[2],uuid:19839c30-19c1-4fd6-ac61-5f5a32db786f/module_c1[2]/c1season_group-c1pesticide_repeat
1,Karata,250,1,1,3,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[1],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[1]/c1season_group-c1pesticide_repeat
2,Malathion,200,1,1,2,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[1],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[1]/c1season_group-c1pesticide_repeat
1,Nativo,20,2,1,3,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[3],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[3]/c1season_group-c1pesticide_repeat[1],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[3]/c1season_group-c1pesticide_repeat
2,Corbael,500,1,2,2,uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[3],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[3]/c1season_group-c1pesticide_repeat[2],uuid:a00fc1db-7002-45b4-892e-f7306db29038/module_c1[3]/c1season_group-c1pesticide_repeat
1,Nirot,100,1,4,3,uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2],uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2]/c1season_group-c1pesticide_repeat
2,Kataf,100,2,4,3,uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2],uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2]/c1season_group-c1pesticide_repeat[2],uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2]/c1season_group-c1pesticide_repeat
3,Virtako,30,2,4,3,uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2],uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2]/c1season_group-c1pesticide_repeat[3],uuid:624c542a-6aad-4579-84e0-0fe627f024e0/module_c1[2]/c1season_group-c1pesticide_repeat
1,Sanpora,10,2,1,3,uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[1],uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[1]/c1season_group-c1pesticide_repeat
1,Geivat,500,1,1,3,uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[2],uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[2]/c1season_group-c1pesticide_repeat
1,Gaivet,500,1,2,2,uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[4],uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:c9e3cb13-46cb-4d09-8c2f-dc436d2ae7bf/module_c1[4]/c1season_group-c1pesticide_repeat
1,Vittaku,50,2,1,2,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_c1[2],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_c1[2]/c1season_group-c1pesticide_repeat
1,Basadin,1000,2,1,2,uuid:bc9260ca-a246-4d8d-8fe4-09bbdf38c907/module_c1[2],uuid:bc9260ca-a246-4d8d-8fe4-09bbdf38c907/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:bc9260ca-a246-4d8d-8fe4-09bbdf38c907/module_c1[2]/c1season_group-c1pesticide_repeat
1,Siraj,40,2,1,2,uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1]/c1season_group-c1pesticide_repeat
2,Furadon,500,2,1,3,uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1]/c1season_group-c1pesticide_repeat
3,Cup,25,1,1,1,uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1]/c1season_group-c1pesticide_repeat[3],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[1]/c1season_group-c1pesticide_repeat
1,Cup,25,1,1,2,uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[2],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[2]/c1season_group-c1pesticide_repeat
2,Pocha roger asud,50,2,1,2,uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[2],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[2]/c1season_group-c1pesticide_repeat[2],uuid:a00ac242-676e-4a2f-a1b7-df808976042e/module_c1[2]/c1season_group-c1pesticide_repeat
1,Endim,100,2,3,3,uuid:5c09db0f-0807-4f3f-84c6-b618bbb5d766/module_c1[4],uuid:5c09db0f-0807-4f3f-84c6-b618bbb5d766/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:5c09db0f-0807-4f3f-84c6-b618bbb5d766/module_c1[4]/c1season_group-c1pesticide_repeat
1,Kap20,100,1,1,3,uuid:d182ff00-2627-42e9-a091-82320612a4e6/module_c1[2],uuid:d182ff00-2627-42e9-a091-82320612a4e6/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:d182ff00-2627-42e9-a091-82320612a4e6/module_c1[2]/c1season_group-c1pesticide_repeat
1,Kab20,100,1,1,3,uuid:d182ff00-2627-42e9-a091-82320612a4e6/module_c1[4],uuid:d182ff00-2627-42e9-a091-82320612a4e6/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:d182ff00-2627-42e9-a091-82320612a4e6/module_c1[4]/c1season_group-c1pesticide_repeat
1,Folora,500,2,2,3,uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_c1[2],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_c1[2]/c1season_group-c1pesticide_repeat
2,Pelenaf,250,1,2,2,uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_c1[2],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_c1[2]/c1season_group-c1pesticide_repeat[2],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_c1[2]/c1season_group-c1pesticide_repeat
1,Ripkot,250,1,2,3,uuid:a95ad4e0-1d38-44ed-b769-791757459587/module_c1[2],uuid:a95ad4e0-1d38-44ed-b769-791757459587/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:a95ad4e0-1d38-44ed-b769-791757459587/module_c1[2]/c1season_group-c1pesticide_repeat
2,Kataf,250,2,2,3,uuid:a95ad4e0-1d38-44ed-b769-791757459587/module_c1[2],uuid:a95ad4e0-1d38-44ed-b769-791757459587/module_c1[2]/c1season_group-c1pesticide_repeat[2],uuid:a95ad4e0-1d38-44ed-b769-791757459587/module_c1[2]/c1season_group-c1pesticide_repeat
1,Nam jane na,10,1,1,2,uuid:94d5c94b-3cfd-4f10-afff-b68dab488536/module_c1[1],uuid:94d5c94b-3cfd-4f10-afff-b68dab488536/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:94d5c94b-3cfd-4f10-afff-b68dab488536/module_c1[1]/c1season_group-c1pesticide_repeat
1,Nam jane na,10,1,1,2,uuid:94d5c94b-3cfd-4f10-afff-b68dab488536/module_c1[4],uuid:94d5c94b-3cfd-4f10-afff-b68dab488536/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:94d5c94b-3cfd-4f10-afff-b68dab488536/module_c1[4]/c1season_group-c1pesticide_repeat
1,Rope lal,50,2,3,2,uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1]/c1season_group-c1pesticide_repeat
2,Botik powder,100,2,3,1,uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1]/c1season_group-c1pesticide_repeat
3,Ease cot,50,2,3,1,uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1]/c1season_group-c1pesticide_repeat[3],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[1]/c1season_group-c1pesticide_repeat
1,Rope lal,50,2,3,2,uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4]/c1season_group-c1pesticide_repeat
2,Botik pawder,100,2,3,1,uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4]/c1season_group-c1pesticide_repeat[2],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4]/c1season_group-c1pesticide_repeat
3,Ease cot,50,2,3,1,uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4]/c1season_group-c1pesticide_repeat[3],uuid:c678accc-432e-4ba5-a27d-31192baee54d/module_c1[4]/c1season_group-c1pesticide_repeat
1,Nam jane nah,2,1,2,3,uuid:62aff057-0af4-4cc4-9e54-4916cc0d8256/module_c1[1],uuid:62aff057-0af4-4cc4-9e54-4916cc0d8256/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:62aff057-0af4-4cc4-9e54-4916cc0d8256/module_c1[1]/c1season_group-c1pesticide_repeat
1,Nam jane na,2,1,2,3,uuid:62aff057-0af4-4cc4-9e54-4916cc0d8256/module_c1[4],uuid:62aff057-0af4-4cc4-9e54-4916cc0d8256/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:62aff057-0af4-4cc4-9e54-4916cc0d8256/module_c1[4]/c1season_group-c1pesticide_repeat
1,Biodin,400,1,2,2,uuid:0b6744b2-a51f-4c8d-98cf-8b19147478d5/module_c1[1],uuid:0b6744b2-a51f-4c8d-98cf-8b19147478d5/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:0b6744b2-a51f-4c8d-98cf-8b19147478d5/module_c1[1]/c1season_group-c1pesticide_repeat
1,Rifit,100,2,1,1,uuid:0647675b-bddb-4fd4-a852-99b2f3c78232/module_c1[1],uuid:0647675b-bddb-4fd4-a852-99b2f3c78232/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:0647675b-bddb-4fd4-a852-99b2f3c78232/module_c1[1]/c1season_group-c1pesticide_repeat
1,Birtako,1000,1,1,1,uuid:7ad595f6-d5c8-490d-998d-dd100ef6c9bb/module_c1[4],uuid:7ad595f6-d5c8-490d-998d-dd100ef6c9bb/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:7ad595f6-d5c8-490d-998d-dd100ef6c9bb/module_c1[4]/c1season_group-c1pesticide_repeat
1,Dayjestor.rodokshodok. Noin,50,1,2,1,uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1],uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1]/c1season_group-c1pesticide_repeat
2,Rodokshoduk,100,1,2,2,uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1],uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1]/c1season_group-c1pesticide_repeat
3,Noin,50,1,2,2,uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1],uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1]/c1season_group-c1pesticide_repeat[3],uuid:04dc3d42-6e9b-4d96-83cd-d6d6ec979df3/module_c1[1]/c1season_group-c1pesticide_repeat
1,Puradon,100,2,2,1,uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[1],uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[1]/c1season_group-c1pesticide_repeat
1,Puradon,500,2,4,2,uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[3],uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[3]/c1season_group-c1pesticide_repeat[1],uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[3]/c1season_group-c1pesticide_repeat
2,Basodin,200,2,5,2,uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[3],uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[3]/c1season_group-c1pesticide_repeat[2],uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[3]/c1season_group-c1pesticide_repeat
1,Puradon,250,2,5,2,uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[4],uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:b91c97e3-0f44-49ad-b486-0930d3c26a5d/module_c1[4]/c1season_group-c1pesticide_repeat
1,Virtako,10,2,2,1,uuid:6ede7b3f-9dc2-4c3a-9202-e152d42c24ac/module_c1[2],uuid:6ede7b3f-9dc2-4c3a-9202-e152d42c24ac/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:6ede7b3f-9dc2-4c3a-9202-e152d42c24ac/module_c1[2]/c1season_group-c1pesticide_repeat
2,Syclobon,50,1,2,1,uuid:6ede7b3f-9dc2-4c3a-9202-e152d42c24ac/module_c1[2],uuid:6ede7b3f-9dc2-4c3a-9202-e152d42c24ac/module_c1[2]/c1season_group-c1pesticide_repeat[2],uuid:6ede7b3f-9dc2-4c3a-9202-e152d42c24ac/module_c1[2]/c1season_group-c1pesticide_repeat
1,Prokilam,200,2,1,3,uuid:8bcf1103-db3b-4efd-8a29-aaa59f9bb42d/module_c1[1],uuid:8bcf1103-db3b-4efd-8a29-aaa59f9bb42d/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:8bcf1103-db3b-4efd-8a29-aaa59f9bb42d/module_c1[1]/c1season_group-c1pesticide_repeat
1,Kerati,50,1,2,1,uuid:48b9e7e6-c2b6-4097-a589-8daf1cf9ce23/module_c1[4],uuid:48b9e7e6-c2b6-4097-a589-8daf1cf9ce23/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:48b9e7e6-c2b6-4097-a589-8daf1cf9ce23/module_c1[4]/c1season_group-c1pesticide_repeat
2,Flora,400,1,3,3,uuid:48b9e7e6-c2b6-4097-a589-8daf1cf9ce23/module_c1[4],uuid:48b9e7e6-c2b6-4097-a589-8daf1cf9ce23/module_c1[4]/c1season_group-c1pesticide_repeat[2],uuid:48b9e7e6-c2b6-4097-a589-8daf1cf9ce23/module_c1[4]/c1season_group-c1pesticide_repeat
1,Balai,100,1,1,3,uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[1],uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[1]/c1season_group-c1pesticide_repeat
2,Caina,50,1,1,3,uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[1],uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[1]/c1season_group-c1pesticide_repeat
1,Balai,100,1,1,1,uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[4],uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:59a65f9b-93e5-4221-ba07-b5285b841de2/module_c1[4]/c1season_group-c1pesticide_repeat
1,Edur marar osud,0.25,2,1,3,uuid:8f4c86c6-70b7-4443-aed2-4008defd085b/module_c1[1],uuid:8f4c86c6-70b7-4443-aed2-4008defd085b/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:8f4c86c6-70b7-4443-aed2-4008defd085b/module_c1[1]/c1season_group-c1pesticide_repeat
1,Bulat,100,1,1,2,uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[1],uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[1]/c1season_group-c1pesticide_repeat
2,Trevit,500,1,1,2,uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[1],uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[1]/c1season_group-c1pesticide_repeat
1,Trevit,100,1,2,2,uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[4],uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[4]/c1season_group-c1pesticide_repeat
2,Bulat,100,1,2,2,uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[4],uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[4]/c1season_group-c1pesticide_repeat[2],uuid:8e8cd066-5729-4350-866a-9743ac39e96b/module_c1[4]/c1season_group-c1pesticide_repeat
